name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times
Aalst,Alost,,,,be,4.039653,50.942813,88.26300578
Aalst-Kerrebroek,,,,,be,4.024407,50.948377,7.297687861
Aalter,,,,,be,3.447848,51.092295,78.48843931
Aarschot,,,,,be,4.824043,50.984406,123.800578
Aarsele,,,,,be,3.418363,50.98446,2.476878613
Acren,,Akren,,,be,3.847086,50.733095,27.1416185
Aiseau,,,,,be,4.584552,50.429529,16.47398844
Alken,,,,,be,5.292866,50.886837,37.95375723
Amay,,,,,be,5.32049,50.546011,21.65317919
Ampsin,,,,,be,5.289729,50.539215,21.65317919
Andenne,,,,,be,5.094699,50.496759,55.0433526
Angleur,,,,,be,5.599695,50.613152,87.1300578
Ans,,,,,be,5.509704,50.661208,53.23988439
Anseremme,,,,,be,4.90553,50.238023,18.15606936
Antoing,,,,,be,3.451309,50.569626,31.72543353
Antwerpen-Berchem,Anvers-Berchem,,,Antwerp-Berchem,be,4.432221,51.19923,421.6445087
Antwerpen-Centraal,Anvers-Central,,,Antwerp-Central,be,4.421101,51.2172,467.982659
Antwerpen-Haven,Anvers-Haven,,,Antwerp-Haven,be,4.379086,51.289968,0
Antwerpen-Luchtbal,Anvers-Luchtbal,,,Antwerp-Luchtbal,be,4.425029,51.244132,48.54046243
Antwerpen-Noorderdokken,Anvers-Noorderdokken,,,Antwerp-Noorderdokken,be,4.427906,51.261643,22.24277457
Antwerpen-Oost,Anvers-Est,,,Antwerp-East,be,4.436392,51.207357,0
Antwerpen-Zuid,Anvers-Sud,,,Antwerp-South,be,4.390259,51.197828,71.19364162
Anzegem,,,,,be,3.495014,50.826385,22.65028902
Appelterre,,,,,be,3.972108,50.813063,26.86416185
Archennes,,Eerken,,,be,4.662444,50.754345,49.89595376
Arlon,,Aarlen,Arel,,be,5.809971,49.68053,85.71387283
Asse,,,,,be,4.207985,50.906488,38.58959538
Assesse,,,,,be,5.022839,50.368133,27.20520231
Ath,,Aat,,,be,3.777429,50.626932,66.29479769
Athus,,,Athem,,be,5.828947,49.563346,93.33815029
Aubange,,,,,be,5.79806,49.564093,18
Auvelais,,,,,be,4.630532,50.449197,37.87283237
Aye,,,,,be,5.301091,50.224135,19.11271676
Aywaille,,,,,be,5.672499,50.472938,20.53757225
Baasrode-Zuid,Baesrode-Sud,,,,be,4.153492,51.019437,17.02023121
Balegem-Dorp,,,,,be,3.791425,50.919612,26.70809249
Balegem-Zuid,,,,,be,3.80587,50.90051,20.17630058
